Nom du produit,Marque,Capacité,Référence,Type de disque,Prix,Site web,Catégorie
Seagate STKM1000400 disque dur externe 1000 Go Noir,Seagate,1 TB,STKM1000400,Disque dur de 2.5 pouces,57,bol.com,DISQUE DUR
Western Digital WD Elements Portable disque dur externe 1000 Go Noir,Western Digital,1 TB,WDBUZG0010BBK-EESN,Disque dur de 2.5 pouces,64,bol.com,DISQUE DUR
"DISQUE DUR EXTERNE - 320 GB - Unionsine® - (pour stocker photos, vidéos, documents, etc) - Garantie 2 ans",UnionSine,500 GB,8830-3,Disque dur de 2.5 pouces,32,bol.com,DISQUE DUR
"LaCie Rugged Mini disque dur externe 2000 Go Orange, Argent",LaCie,2 TB,LAC9000298,Disque dur de 2.5 pouces,133,bol.com,DISQUE DUR
"2 To, PS4/PS5, USB 3.0",Seagate,2 TB,STLV2000201,Disque dur de 3.5 pouces,109,bol.com,DISQUE DUR
Toshiba Canvio Basics 2 To (modèle 2022) Zwart,Toshiba,2 TB,HDTB520EK3AA,Disque dur de 2.5 pouces,77,bol.com,DISQUE DUR
Western Digital My Passport disque dur externe 2000 Go Noir,Western Digital,2 TB,WD my passport WDBYVG0020BBK-WESN,Disque dur de 2.5 pouces,79,bol.com,DISQUE DUR
"Seagate Game Drive STGD2000400 disque dur externe 2000 Go Noir, Bleu",Seagate,2 TB,STGD2000200,Disque dur de 3.5 pouces,99,bol.com,DISQUE DUR
Seagate Expansion Portable 500GB disque dur externe 500 Go Noir,Seagate,500 GB,STEA500400,Disque dur de 2.5 pouces,49,bol.com,DISQUE DUR
"Disque dur externe YAB® - 16 To - Externe - SSD - USB 3.1, haute vitesse, disque Solid haute vitesse pour ordinateur portable - PC",Merkloos / Sans marque,16 TB,E61,Disque dur de 2.5 pouces,179,bol.com,DISQUE DUR
"Intenso Memory Case 2.5"" USB 3.0 disque dur externe 500 Go Noir",Intenso,500 GB,6021530,Disque dur de 2.5 pouces,36,bol.com,DISQUE DUR
Western Digital WD Elements Desktop disque dur externe 4000 Go Noir,Western Digital,4 TB,WDBWLG0040HBK-EESN,Disque dur de 3.5 pouces,122,bol.com,DISQUE DUR
Toshiba Canvio Basics 1 To (modèle 2022) Zwart,Toshiba,1 TB,HDTB510EK3AA,Disque dur de 2.5 pouces,60,bol.com,DISQUE DUR
"DISQUE DUR EXTERNE - 500 GB - Unionsine ® - disque de stockage (pour stocker photos, vidéos, documents, etc) - win/mac/xbox/psx - hdd - Garantie 2 ans",UnionSine,500 GB,99735672828,Disque dur de 2.5 pouces,39,bol.com,DISQUE DUR
"Disque dur externe UNONSINE mini 160 GB (pour stocker photos, vidéos, documents, etc.) - boîtier noir",UnionSine,250 GB,nvt,Disque dur de 2.5 pouces,28,bol.com,DISQUE DUR
Seagate Expansion STEB6000403 disque dur externe 6000 Go Noir,Seagate,6 TB,STKP6000400,Disque dur de 3.5 pouces,132,bol.com,DISQUE DUR
"2 TB, 256MB cache,SATA III, 3.5"", 20.17x101.6x147 mm, 415 g",Seagate,2 TB,ST2000DM008,Disque dur de 3.5 pouces,74,bol.com,DISQUE DUR
Seagate Game Drive pour Xbox - Disque dur externe - 2 To,Seagate,2 TB,STKX2000400,Disque dur de 2.5 pouces,104,bol.com,DISQUE DUR
"4 To, 3.5"", SATA 6 Go/s, CMR",Western Digital,4 TB,WD40EFPX,Disque dur de 3.5 pouces,121,bol.com,DISQUE DUR
"Seagate IronWolf ST4000VN006, 3.5"", 4 To, 5400 tr/min",Seagate,4 TB,ST4000VN006,Disque dur de 3.5 pouces,114,bol.com,DISQUE DUR
Toshiba HDTB420EK3AA disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTB320EK3CA,Disque dur de 2.5 pouces,79,bol.com,DISQUE DUR
"Disque dur externe YAB® - SSD externe - 8 To - USB 3.1, High Speed, Solid State Drive - Ordinateur portable - PC",Rood,8 TB,SSD-8T,Disque dur de 2.5 pouces,129,bol.com,DISQUE DUR
Western Digital My Passport disque dur externe 2000 Go Bleu,Western Digital,2 TB,WD my passport WDBYVG0020BBL-WESN,Disque dur de 2.5 pouces,79,bol.com,DISQUE DUR
"Intenso Memory Case 2.5"" USB 3.0, 1TB disque dur externe 1024 Go Noir",Intenso,1 TB,6021560,Disque dur de 2.5 pouces,64,bol.com,DISQUE DUR
"3.5"", 16TB, SATA III, 256Mo Cache, 7200 tr/min",Seagate,16 TB,ST16000NM001G,Disque dur de 3.5 pouces,325,bol.com,DISQUE DUR
Les Basics du Toshiba Canvio - 4 To,Toshiba,4 TB,HDTB540EK3CA,Disque dur de 2.5 pouces,111,bol.com,DISQUE DUR
VisiQuality Disque dur externe 500 Go - Disque dur portable USB3.1/ Type-C pour ordinateur portable et PC - Windows uniquement - Compact - Rouge,VisiQuality,1 TB,00,Disque dur de 2.5 pouces,49,bol.com,DISQUE DUR
VisiQuality Disque dur externe 500 Go - Disque dur portable USB3.1/ Type-C pour ordinateur portable et PC - Windows uniquement - Compact - Blauw,VisiQuality,1 TB,00,Disque dur de 2.5 pouces,49,bol.com,DISQUE DUR
Intenso Memory Center disque dur externe 3000 Go Noir,Intenso,3 TB,6031511,Disque dur de 3.5 pouces,82,bol.com,DISQUE DUR
VisiQuality Disque dur externe 500 Go - Disque dur portable USB3.1/ Type-C pour ordinateur portable et PC - Windows uniquement - Compact - Zwart,VisiQuality,1 TB,00,Disque dur de 2.5 pouces,49,bol.com,DISQUE DUR
Disque dur externe 500 GB - Disque dur externe,Cor.Speed,500 GB,-,Disque dur de 2.5 pouces,39,bol.com,DISQUE DUR
Seagate One Touch - Disque dur externe portable - Protection par mot de passe - 2 To - Rose,Seagate,2 TB,STKY2000405,Disque dur de 2.5 pouces,84,bol.com,DISQUE DUR
"Western Digital Purple WD43PURZ, 3.5"", 4 To, 5400 tr/min",Western Digital,4 TB,WD43PURZ,Disque dur de 3.5 pouces,103,bol.com,DISQUE DUR
Samsung Type-C 512 GB Flash Drive Clé flash SSD au détail 512 GB bleu MUF-512DA/APC USB-C®,Samsung,512 GB,MUF-512DA/APC,Disque dur de 2.5 pouces | Disque dur de 3.5 pouces,69,bol.com,DISQUE DUR
"Disque dur externe YAB® – SSD externe – 12 To – USB 3.1, haute vitesse, Solid – Drive portable – PC – Mac",Merkloos / Sans marque,12 TB,SSD-12T,Disque dur de 2.5 pouces,139,bol.com,DISQUE DUR
"Disque dur externe portable PS5 1 To - Disque dur externe fin adapté pour PS5/PS4/ PC - Stockage PS5 2,5 pouces Zwart",GUTEC,1 TB,8721022268033,Disque dur de 2.5 pouces,84,bol.com,DISQUE DUR
"MAXONE® Disque dur externe - Disque dur externe - Disque dur - Disque dur PS4 - SSD externe - Portable - 2,5 pouces - 500 Go - Compatible avec PC/ Ordinateur portable / PS4 / Xbox One - Plug And Play - USB 3.0 - USB 2.0",Merkloos / Sans marque,500 GB,Merkloos,Disque dur de 2.5 pouces,39,bol.com,DISQUE DUR
Seagate Expansion STEF1000401 disque dur externe 1000 Go Noir,Seagate,1 TB,STEA1000400,Disque dur de 2.5 pouces,69,bol.com,DISQUE DUR
Western Digital My Passport disque dur externe 4000 Go Rouge,,4 TB,WD my passport WDBPKJ0040BRD-WESN,Disque dur de 2.5 pouces,119,bol.com,DISQUE DUR
Voltano Blueendless - Disque dur externe compact 750 GB - Windows - Zwart - USB 3.0,Voltano,750 GB,8720153080293,Disque dur de 2.5 pouces,44,bol.com,DISQUE DUR
Intenso Memory Center disque dur externe 6000 Go Noir,Intenso,6 TB,6031514,Disque dur de 3.5 pouces,144,bol.com,DISQUE DUR
LaCie Mobile Drive (2022) disque dur externe 5000 Go Argent,LaCie,5 TB,STLP500040,Disque dur de 2.5 pouces,169,bol.com,DISQUE DUR
"Disque dur externe YAB® 2 To – Externe – SSD – USB 3.1, haute vitesse, disque Solid haute vitesse pour ordinateur portable – PC",Zwart,2 TB,E61,Disque dur de 2.5 pouces,89,bol.com,DISQUE DUR
"8To, 3.5"", SATA 6Gb/s",Seagate,8 TB,ST8000VN004,Disque dur de 3.5 pouces,207,bol.com,DISQUE DUR
Seagate Archive HDD Basic disque dur externe 1000 Go Argent,Seagate,1 TB,STJL1000400,Disque dur de 2.5 pouces,69,bol.com,DISQUE DUR
"Boîtier externe SSD 4smarts - Stockage 2 To - USB-C 3.2 Gen 2, 10 Gbps - Compatible avec MagSafe - Standard - Boîtier SSD pour MacBook, iPad Pro et Android, entre autres - Grijs",4Smarts,2 TB,541094,Disque dur de 2.5 pouces,39,bol.com,DISQUE DUR
"Seagate Barracuda ST8000DM004, 3.5"", 8 To, 5400 tr/min",Seagate,8 TB,ST8000DM004,Disque dur de 3.5 pouces,,bol.com,DISQUE DUR
Toshiba Canvio Ready disque dur externe 2000 Go Noir,Toshiba,2 TB,HDTP320EK3AA,Disque dur de 2.5 pouces,86,bol.com,DISQUE DUR
GRAUGEAR 4 To pour Playstation 4/5 - 3.2 Gen 2 (3.1 Gen 2) - USB-C,GrauGear,4 TB,G-3501-A-10G-4TB,Disque dur de 3.5 pouces,139,bol.com,DISQUE DUR
"Western Digital Red Plus WD20EFPX, 3.5"", 2 To, 5400 tr/min",Western Digital,2 TB,WD20EFPX,Disque dur de 3.5 pouces,95,bol.com,DISQUE DUR
Disque dur externe SSD portable Ultra Glance de Dutch Wanted - Vitesse d'écriture rapide de 550 Mo p/s - 500 Go de Solide SSD - Plug and play - Stockage portable - Stockage externe PC ou ordinateur portable - USB 3.2 - Extension de disque dur,Dutch Wanted,500 GB,2024-UG-500GB,Disque dur de 3.5 pouces,59,bol.com,DISQUE DUR
Western Digital My Book disque dur externe 6000 Go Noir,Western Digital,6 TB,WDBBGB0060HBK-EESN,Disque dur de 3.5 pouces,157,bol.com,DISQUE DUR
"2 TB, 2.5"", SATA 6 Gb/s, 5400 RPM, 140 MB/s, 128 MB, 7 mm",Seagate,2 TB,ST2000LM015,Disque dur de 2.5 pouces,83,bol.com,DISQUE DUR
"22 To, 3,5 pouces, 7 200 tr/min, SATA III, 512 Mo",Seagate,,ST22000NT001,Disque dur de 3.5 pouces,425,bol.com,DISQUE DUR
Western Digital WD5000LPLX - Disque dur interne - 500 Go,Western Digital,500 GB,WD5000LPLX,Disque dur de 2.5 pouces,20,bol.com,DISQUE DUR
Disque dur externe SSD portable haute performance Eaget M1 de Dutch Wanted - Vitesse 550 Mo p/s - 1 To de stockage SSD - Plug and play - Stockage portable - Stockage externe PC ou ordinateur portable - USB 3.2 - Extension de disque dur Ultra rapide,Dutch Wanted,1 TB,2024-M1-1000GB,Disque dur de 2.5 pouces,129,bol.com,DISQUE DUR
"Western Digital Purple WD23PURZ, 3.5"", 2 To",Western Digital,2 TB,WD23PURZ,Disque dur de 3.5 pouces,80,bol.com,DISQUE DUR
Seagate Game Drive Hub for Xbox disque dur externe 8000 Go Noir,Seagate,8 TB,STKW8000400,Disque dur de 3.5 pouces,224,bol.com,DISQUE DUR
"1 TB, 2.5"", SATA 6 Gb/s, 5400 RPM, 140 MB/s, 128 MB, 7 mm",Seagate,1 TB,ST1000LM048,Disque dur de 2.5 pouces,65,bol.com,DISQUE DUR
Disque dur externe PS5 [4 To] – Disque dur externe avec écran LED adapté pour PS5/PS4/ PC – Stockage PS5 avec USB 3.0,GUTEC,4 TB,8721022263137,Disque dur de 3.5 pouces,174,bol.com,DISQUE DUR
"8 To, USB 3.0, 41,9 x 125 x 178. 75 , Zwart",Seagate,8 TB,STKP8000400,Disque dur de 3.5 pouces,184,bol.com,DISQUE DUR
"Disque dur externe portable PS5 500 Go – Disque dur externe fin adapté pour PS5/PS4/ PC – Stockage PS5 2,5 pouces Zwart",GUTEC,500 GB,8721022262949,Disque dur de 2.5 pouces,59,bol.com,DISQUE DUR
"Western Digital Red Plus , 3.5"", 8 To, 5640 tr/min",Western Digital,8 TB,WD80EFPX,Disque dur de 3.5 pouces,208,bol.com,DISQUE DUR
"18 To, SATA 6 Gb/s, 26,11 x 101,85 x 146,99 mm, 670 g",Seagate,18 TB,ST18000NT001,Disque dur de 3.5 pouces,310,bol.com,DISQUE DUR
Seagate One Touch disque dur externe 2000 Go Bleu,Seagate,2 TB,STKY2000402,Disque dur de 2.5 pouces,84,bol.com,DISQUE DUR
